1,10 real SATs ,Unknown,6574,2000,New York : College Entrance Examination Board,Social Sciences,Reference Books,2
2,100 contemporary architects: drawings And sketches ,"Lacy, Bill",57886,1991,London : Thames and Hudson,Civil Engineering,Reference Books,1
3,100 desktop publishing exercises ,"Youth, Helen",56530,1990,New Jersey : Prentice Hall,Biomedical Engineering,Reference Books,2
4,1001 internet tips ,"Malone, Bill",1998,2000,"Houston, Tex. : Jamsa Press",Computer Science And Engineering,Reference Books,1
5,1001 questions answered about trees ,"Platt, Rutherford Hayes, 1894-",11902,1992,New York : Dover Publications,Biotechnology,Reference Books,1
6,1001 ways to reward employees ,"Nelson, Bod",8328,1994,New York : Workman Publishing,Social Sciences,Reference Books,1
7,1001 Word 2000 tips ,"Wyatt, Allen L.",5532,1999,"Houston, TX : Jamsa Press",Business Administration,Reference Books,1
8,101 real money questions : the African American financial question and answer book ,"Brown, Jesse B.",3098,2003,New York : John Wiley And Sons,Business Administration,Reference Books,1
9,106 mortgage secrets all borrowers must learn - but lenders don't tell ,"Eldred, Gary W.",3099,2008,N.J. : John Wiley And Sons,Business Administration,Reference Books,1
10,117 house designs of the twenties ,Gordon-Van Tine Co.,59431,1992,New York : Dover Publications,Civil Engineering,Reference Books,1
11,12 ladders to world class performance : how your organization can compete with the best in the world,"Drennan, David",2938,1999,London : Kogan Page,Business Administration,Reference Books,1
12,15 secrets every network marketer must know : essential elements and skills required to achieve ,"Rubino, Joe",3100,2006,Hoboken : John Wiley,Business Administration,Reference Books,1
13,18 houses ,Unknown,59353,1992,New York : Princeton Architectural Press,Civil Engineering,Reference Books,1
14,1995 IEEE international symposium on circuits and systems,Unknown,54268,1995,"Washington, USA : IEEE Press",Electronic And Telecommunication Engineering,Reference Books,1
15,1995 IEEE international symposium on circuits and systems ,Unknown,55512,1995,New Jersey : IEEE Service Center,Electronic And Telecommunication Engineering,Reference Books,1
16,20 training workshops for customer care ,"Gillen, Terry.",56254,1990,England; USA : Gower,Business Administration,Reference Books,1
17,20 training workshops for listening skills ,"Sproston, Clare",5992,1989,Aldershot : Gower pub. Company,Psychology,Reference Books,1
18,200 narrow-lot home plans : stylish plans for houses less than 60' wide,Unknown,59413,1993,"Tucson, Arizona : Home Planners",Civil Engineering,Reference Books,1
19,2000 solved problems in digital electronics ,"Bali, S. P.",4874,2005,New Delhi : McGraw-Hill,Electronic And Telecommunication Engineering,Reference Books,1
20,2000 solved problems in electromagnetics ,"Nasar, Syed A.",7609,1992,New York : McGraw-Hill,Electronic And Telecommunication Engineering,Reference Books,2
21,2001 : a relativistic spacetime odyssey : proceedings of the Johns Hopkins Workshop on Current Probl,"Ciufolini, Ignazio",7450,2003,New Jersey : World Scientific,Physics,Reference Books,20
22,2007 Masters annual ,Augusta National Golf Club,3101,2007,New York : John Wiley And Sons,Other Areas,Reference Books,1
23,21st century manufacturing ,"Wright, Paul Kenneth.",55980,2001,New Jersey : Prentice Hall,Electronic And Telecommunication Engineering,Reference Books,1
24,30 days to market mastery : a step-by-step guide to profitable trading ,"Bernstein, Jacob, 1946-",3102,2007,"Hoboken, N.J. : John Wiley And Sons",Business Administration,Reference Books,1
25,300 affordable home plans,Unknown,59346,1996,New Jersey : Creative Homeowner Press,Civil Engineering,Reference Books,1
26,"368 animal illustrations from Buffon's ""Natural history"" ","Buffon, Georges Louis Leclerc comte de, 1707-1788",11896,1993,New York : Dover Publications,Biotechnology,Reference Books,1
27,3D human modeling and animation ,"Ratner, Peter",3103,2003,New York : John Wiley And Sons,Computer Science And Engineering,Reference Books,1
28,3-D image processing algorithms ,Unknown,52466,2001,New York ; Chichester : John Wiley,Computer Science And Engineering,Curriculum,1
29,3D-groundwater modeling with PMWIN : a simulation system for modeling groundwater flow and pollution,"Chiang,Wen-Hsing",8338,2001,Berlin : Springer,Civil Engineering,Reference Books,1
30,3ds Max at a glance ,"Maestri, George, 1960-",3104,2008,Ind. : Wiley Pub.,Computer Science And Engineering,Reference Books,1
31,49 easy electronic projects for the 556 dual timer ,"Horn, Delton T.",54266,1991,"Blue Ridge Summit, PA : Tab Books",Electronic And Telecommunication Engineering,Reference Books,1
32,6 weeks to a Hollywood body : look fit and feel fabulous with the secrets of the stars ,"Zim, Steve",3105,2006,N.J. : John Wiley And Sons,Social Sciences,Reference Books,1
33,60 Minute guide to Java ,"Tittel, Ed",2202,1995,"Foster City, CA : IDG Books Worldwide",Biomedical Engineering,Reference Books,1
34,60 minute guide to Netscape Navigator 3 ,"Witherspoon, Craig",5832,1996,Foster City : IDG Books Worldwide,Computer Science And Engineering,Reference Books,1
35,68HC12 microcontroller : Theory and applications ,"Pack, Daniel J.",1460,2002,"Upper Saddle River, N.J. : Prentice Hall ",Electronic And Telecommunication Engineering,Curriculum,1
36,6th conference of Asean federation of engineering organizations (CAFEO-6) : Theme :Energy and Envir 1988,"Begawan, Bandar Seri",6161,1988,CAFEO-6,Business Administration,Reference Books,1
37,6th conference of Asean federation of engineering organizations (CAFEO-6) : Theme :Energy and Envir,"Begawan, Bandar Seri",6162,1988,CAFEO-6,Business Administration,Reference Books,1
38,7 strategies for developing capable students ,Unknown,6454,1998,"Rocklin, Calif. : Prima Pub.",Social Sciences,Reference Books,1
39,722 miles : the building of the subways and how they transformed New York ,"Hood, Clifton",6212,1993,New York : Simon And Schuster,Civil Engineering,Reference Books,1
40,90 world-class activities by 90 world-class trainers ,"Biech, Elaine",3106,2007,San Francisco : A John Wiley And​ Sons Imprint,Social Sciences,Reference Books,1
41,924 elementary problems and answers in solar system astronomy ,"Van Allen, James 1914-",11677,1993,Iowa City : University of Iowa Press,Natural Science,Reference Books,1
42,A beautiful place to die ,"Nunn, Malla",54312,2008,London : Picador,Literature And Art,Reference Books,1
43,A biologist's guide to analysis of DNA microarray data ,"Knudsen, Steen",52280,2002,New York : John Wiley And Son,Biotechnology,Reference Books,1
44,A bridge not attacked : Chemical warfare civilian research during World War II ,"Johnston, Harold",6336,2003,London : World Scientific,Social Sciences,Reference Books,1
45,A brief history of computing ,"O'Regan, Gerard",1303,2008,London : Springer-Verlag,Computer Science And Engineering,Reference Books,2
46,A brief history of times ,"Hawking, Stephen W.",11468,1988,"London, New York : Bantam Books",Natural Science,Reference Books,1
47,A brief introduction to fluid mechanics,"Young,Donald F.",52467,1996,New York : John Wiley And Sons,Other Areas,Reference Books,1
48,A case of two cities ,"Qiu,Xiaolong",54160,2006,London : Sceptre,Literature And Art,Reference Books,1
49,A Casebook for Systems Development ,"Rogerson, S.",8251,1986,London ; USA : Edward Arnold,Business Administration,Reference Books,1
