,hire_date,user_id,book_id,due_date,hire_type,id_y,price,return_date,status,barcode,title_id
0,2017-02-15 00:00:00+00:00,37,53683-70,2017-07-15 00:00:00+00:00,2,1,59792.0,2018-03-19 11:25:23+00:00,1,53683-70,23
1,2017-02-15 00:00:00+00:00,39,53398-70,2017-07-15 00:00:00+00:00,2,2,100000.0,2017-07-17 10:08:27+00:00,1,53398-70,97
2,2017-06-06 00:00:00+00:00,111,53683-60,2017-06-13 00:00:00+00:00,3,3,14948.0,2017-06-12 16:01:18+00:00,1,53683-60,23
3,2017-07-01 00:00:00+00:00,64,58584-80,2017-08-31 00:00:00+00:00,2,4,73124.0,2018-03-19 11:17:35+00:00,1,58584-80,88
4,2017-06-19 00:00:00+00:00,25,53664-90,2017-08-31 00:00:00+00:00,2,5,64337.0,2017-09-22 14:23:02+00:00,1,53664-90,14
5,2017-07-03 00:00:00+00:00,72,53388-70,2017-08-31 00:00:00+00:00,2,6,55146.0,2017-09-14 14:50:40+00:00,1,53388-70,101
6,2017-07-17 00:00:00+00:00,21,53398-70,2017-07-24 00:00:00+00:00,3,7,25000.0,2017-09-14 14:33:30+00:00,1,53398-70,97
7,2017-09-11 00:00:00+00:00,105,53620-100,2017-09-18 00:00:00+00:00,3,8,21285.75,2017-09-11 10:52:17+00:00,1,53620-100,16
8,2017-09-11 00:00:00+00:00,105,53620-100,2017-09-18 00:00:00+00:00,3,9,21285.75,2018-01-13 13:53:19+00:00,1,53620-100,16
9,2017-09-11 00:00:00+00:00,118,53388-90,2018-02-15 00:00:00+00:00,2,10,55146.0,2018-02-05 11:01:36+00:00,1,53388-90,101
10,2017-09-11 00:00:00+00:00,119,53388-80,2018-02-15 00:00:00+00:00,2,11,55146.0,2018-02-28 16:31:19+00:00,1,53388-80,101
11,2017-09-11 00:00:00+00:00,20,53398-130,2017-09-18 00:00:00+00:00,3,12,25000.0,2018-01-13 13:56:59+00:00,1,53398-130,97
