,user_id,title_id,point
0,8,20,9.43
1,8,119,9.43
2,8,140,4.325
3,9,113,9.08
4,10,14,9.96
5,11,164,3.04
6,13,143,9.52
7,14,54,4.5
8,15,66,4.5
9,16,88,7.863333333333333
10,17,102,4.5
11,18,54,3.625
12,19,27,8.34
13,20,97,4.5
14,21,97,4.5
15,22,100,4.025
16,23,6,4.5
17,23,30,3.62
18,23,142,3.56
19,24,1,3.42
20,24,27,8.39
21,25,14,7.83
22,26,41,4.5
23,26,43,4.5
24,26,50,4.5
25,26,102,4.5
26,27,12,3.02
27,27,133,9.42
28,28,54,5.8125
29,29,88,3.61
30,30,66,3.61
31,31,137,9.59
32,32,66,3.51
33,33,14,4.65
34,34,106,3.02
35,36,106,8.41
36,37,23,4.5
37,38,6,9.35
38,38,24,4.5
39,39,12,8.87
40,39,88,8.94
41,39,97,8.925
42,39,100,5.55
43,39,106,8.94
44,39,116,8.78
45,39,120,8.55
46,40,97,9.61
47,41,12,3.55
48,41,23,4.5
49,42,100,3.47
50,44,2,3.62
51,44,98,3.05
52,45,23,4.5
53,45,97,8.96
54,45,106,3.47
55,45,130,6.98
56,47,130,7.213333333333334
57,48,21,8.84
58,48,41,7.135
59,48,55,8.47
60,48,56,7.135
61,48,103,7.135
62,49,152,4.5
63,50,12,3.98
64,51,103,9.04
65,52,12,9.07
66,53,12,8.99
67,55,48,3.03
68,55,54,3.65
69,56,82,4.5
70,57,100,3.59
71,58,163,3.02
72,59,91,5.4
73,60,23,6.0
74,61,16,3.03
75,62,91,3.03
76,63,15,8.94
77,64,88,4.5
78,65,58,8.9
79,66,81,9.62
80,67,91,4.5
81,68,29,3.03
82,68,40,3.67
83,68,98,3.01
84,70,59,3.31
85,70,107,3.49
86,72,101,8.27
87,73,30,9.07
88,73,64,8.46
89,74,31,6.555000000000001
90,75,101,6.783333333333334
91,76,152,3.57
92,77,31,3.02
93,78,149,3.03
94,79,162,4.5
95,80,64,7.84
96,81,129,8.49
97,82,38,9.52
98,83,38,9.43
99,84,129,8.13
100,85,104,3.64
101,86,112,4.5
102,87,121,3.03
103,88,28,3.42
104,89,63,8.97
105,89,129,3.04
106,89,157,8.22
107,90,34,3.02
108,92,112,9.63
109,93,157,3.42
110,94,112,8.540000000000001
111,95,34,3.07
112,96,112,4.5
113,98,34,3.32
114,99,101,9.22
115,100,120,8.84
116,101,112,3.4
117,102,97,3.58
118,103,112,3.42
119,104,16,9.4
120,105,16,3.975
121,106,16,5.984999999999999
122,107,101,9.38
123,108,120,7.57
124,109,101,9.68
125,110,34,3.5
126,111,23,9.67
127,112,24,6.66
128,113,116,3.205
129,114,1,3.63
130,114,2,3.63
131,114,150,3.31
132,116,106,9.59
133,117,120,6.244999999999999
134,118,101,9.57
135,119,101,9.39
136,120,155,3.03
137,121,106,8.47
138,122,21,8.47
139,122,50,3.025
140,122,106,3.37
141,123,106,8.47
142,124,34,4.5
143,125,63,8.44
144,125,106,8.36
